year,country,region,happiness_rank,happiness_score,standard_error_of_happiness_score,lower_confidence_interval,upper_confidence_interval,dystopia_residual,explained_by_freedom_to_make_life_choices,explained_by_gdp_per_capita,explained_by_generosity,explained_by_healthy_life_expectancy,explained_by_perceptions_of_corruption,explained_by_social_support,freedom_to_make_life_choices,generosity,healthy_life_expectancy,perceptions_of_corruption,social_support,logged_gdp_per_capita,ladder_score_in_dystopia
2015,Switzerland,West Europe,1,7.587,0.03411,NA,NA,2.51738,0.66557,1.39651,0.29678,0.94143,0.41978,1.34951,NA,NA,NA,NA,NA,NA,NA
2015,Iceland,West Europe,2,7.561,0.04884,NA,NA,2.70201,0.62877,1.30232,0.4363,0.94784,0.14145,1.40223,NA,NA,NA,NA,NA,NA,NA
2015,Denmark,West Europe,3,7.527,0.03328,NA,NA,2.49204,0.64938,1.32548,0.34139,0.87464,0.48357,1.36058,NA,NA,NA,NA,NA,NA,NA
2015,Norway,West Europe,4,7.522,0.0388,NA,NA,2.46531,0.66973,1.459,0.34699,0.88521,0.36503,1.33095,NA,NA,NA,NA,NA,NA,NA
2015,Canada,North America,5,7.427,0.03553,NA,NA,2.45176,0.63297,1.32629,0.45811,0.90563,0.32957,1.32261,NA,NA,NA,NA,NA,NA,NA
2015,Finland,West Europe,6,7.406,0.0314,NA,NA,2.61955,0.64169,1.29025,0.23351,0.88911,0.41372,1.31826,NA,NA,NA,NA,NA,NA,NA
2015,Netherlands,West Europe,7,7.378,0.02799,NA,NA,2.4657,0.61576,1.32944,0.4761,0.89284,0.31814,1.28017,NA,NA,NA,NA,NA,NA,NA
2015,Sweden,West Europe,8,7.364,0.03157,NA,NA,2.37119,0.6598,1.33171,0.36262,0.91087,0.43844,1.28907,NA,NA,NA,NA,NA,NA,NA
2015,New Zealand,Australia and New Zealand,9,7.286,0.03371,NA,NA,2.26425,0.63938,1.25018,0.47501,0.90837,0.42922,1.31967,NA,NA,NA,NA,NA,NA,NA
2015,Australia,Australia and New Zealand,10,7.284,0.04083,NA,NA,2.26646,0.65124,1.33358,0.43562,0.93156,0.35637,1.30923,NA,NA,NA,NA,NA,NA,NA
